Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location
North Lawndale,29,Multifamily,Park Douglas,1262-1300 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,7,1158531.93087019,1893930.09460845,41.8646833345,-87.6935047653,"(41.8646833345, -87.6935047653)"
Avalon Park,45,Senior,Montclare Senior Residences of Avalon Park,1200 E. 78th St.,60619,773-933-9000,Montclare Senior Residences,102,1185587.74215785,1853564.45895793,41.7533208609,-87.5954564009,"(41.7533208609, -87.5954564009)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,528 N. Troy St.,60624,773-227-6332,Bickerdike Apts.,3,1155237.31558285,1903580.68498426,41.8912322799,-87.7053401173,"(41.8912322799, -87.7053401173)"
Lincoln Square,4,ARO,2247 W. Lawrence Ave.,2247 W. Lawrence Ave.,60625,312-266-1515,CA Urban Living,2,,,,,
Chicago Lawn,66,Senior,Lawn Terrace Apts.,3214 W. 63rd Pl,60629,773-925-2815,Greater Southwest Dev. Corp.,102,1155938.09204766,1862375.03146745,41.7781448626,-87.7038754099,"(41.7781448626, -87.7038754099)"
Grand Boulevard,38,Senior,Bronzeville Senior Apts.,460 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,97,1180219.19885135,1877957.21416565,41.8203815435,-87.6143824354,"(41.8203815435, -87.6143824354)"
Near West Side,28,Multifamily,Westhaven Park Phase IIC,1939 W. Lake St.,60612,312-455-0009,Interstate Realty Management Co.,42,1163284.25735683,1901334.73659817,41.8849038015,-87.6758507682,"(41.8849038015, -87.6758507682)"
North Lawndale,29,Senior,Tabernacle Apts.,3836 W. Cermak Road,60623,773-762-3389,Lawndale Christian Residential Svcs.,126,1150987.19026707,1889144.74861114,41.8517027368,-87.7213268803,"(41.8517027368, -87.7213268803)"
Lower West Side,31,Multifamily,Casa Monterrey,967 W. 19th St.,60608,312-666-1323,The Resurrection Project,4,1170202.35608923,1891062.31286137,41.8565672424,-87.6507465232,"(41.8565672424, -87.6507465232)"
Washington Park,40,Multifamily,Michigan Plaza (St. Edmund's Plaza),5701 S. Michigan Ave.,60653,773-548-8924,Michigan Plaza LP,230,1178170.37078278,1867225.80412267,41.7909803898,-87.6222241137,"(41.7909803898, -87.6222241137)"
Edgewater,77,Senior,Pomeroy Apts.,5650 N. Kenmore Ave.,60660,773-275-7820,Habitat Company,198,1168181.12381684,1937918.40049523,41.9851867755,-87.656808677,"(41.9851867755, -87.656808677)"
Grand Boulevard,38,Multigfamily,Cornerstone Apts.,731 E. 50th Pl,60615,312-577-5555,The Community Builders Inc.,24,1182124.43530242,1871654.41627889,41.803042216,-87.6075885068,"(41.803042216, -87.6075885068)"
South Shore,43,Multifamily,Highlands Tudor Manor,7018 S. Cregier Ave.,60649,773-667-1940,Related Management Co. LP,18,1189376.95360712,1858721.45235642,41.7673820796,-87.5814053802,"(41.7673820796, -87.5814053802)"
South Chicago,46,Multifamily,Casa Kirk,3200 E. 92nd St.,60617,773-734-2884,Interfaith Housing Corp.,112,1198941.10272959,1844604.27704711,41.7284087757,-87.546822457,"(41.7284087757, -87.546822457)"
North Park,13,Senior,Edward M. Marx Apts.,5801 N. Pulaski Road,60646,773-583-4182,Elderly Housing Devp. & Operations Corp.,180,1148723.50103629,1938044.23656645,41.9859315142,-87.72836921,"(41.9859315142, -87.72836921)"
Near South Side,33,Multifamily,Hilliard Homes Phase II,2031 S. Clark St.,60616,312-326-1455,Holsten Management Corp.,176,1175862.86574968,1890322.3611181,41.8544114001,-87.6299918764,"(41.8544114001, -87.6299918764)"
Roseland,49,Supportive Housing,Holland Apartments,240 W. 107th Place,60628,773-568-3031,Mercy Housing,40,1176448.51184587,1833690.98593694,41.698995638,-87.6295434504,"(41.698995638, -87.6295434504)"
Lakeview,6,Senior LGBTQ,Town Hall Apts.,3600 N. Halsted St.,60613,773-472-6463,Heartland Houing Inc.,79,1170240.93006957,1924164.84687441,41.947401735,-87.6496365844,"(41.947401735, -87.6496365844)"
West Town,24,ARO,Seven 10 West,710 W. Grand Ave.,60654,414-369-3511,Outlook Management,1,1171305.69906443,1903732.36441458,41.8913106255,-87.6463244631,"(41.8913106255, -87.6463244631)"
Auburn Gresham,71,Supportive/Veterans,Veteran's New Beginnings,8132-44 S. Racine Ave.,60620,773-488-2317,"HSR Property Services, LLC",54,1169700.30702903,1850714.77788477,41.7458601099,-87.6537601722,"(41.7458601099, -87.6537601722)"
Logan Square,22,ARO,2556 Armtiage LLC,2556 W. Armitage Ave,60647,773-252-0600,North Clybourn Group,1,,,,,
West Town,24,Supportive Housing,Wicker Park Renaissance,1527-31 N. Wicker Park Ave.,60622,773-278-8602,"RRG Development, Inc.",102,1162934.3186359,1910028.94634624,41.9087687359,-87.6768915182,"(41.9087687359, -87.6768915182)"
East Garfield Park,27,Multifamily/Artists,Switching Station Lofts,15 S. Homan Ave.,60624,312-859-0577,Holsten Management Corp.,24,1153767.67803258,1899627.5293921,41.8804138115,-87.7108427298,"(41.8804138115, -87.7108427298)"
Washington Heights,73,Supportive Housing,Brainerd Park Apts.,8920 S. Loomis St.,60620,312-535-3157,Full Circle Management,4,,,,,
Logan Square,22,Multifamily,Zapata Apts.,3503 W. Armitage Ave,60647,773-227-6332,Bickerdike Apartments,12,1152897.63447785,1913030.19290087,41.9172092811,-87.713682006,"(41.9172092811, -87.713682006)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3118 W. Franklin Blvd.,60624,773-227-6332,Bickerdike Apts.,6,1155403.53191241,1903205.5310607,41.8901994819,-87.7047397754,"(41.8901994819, -87.7047397754)"
Woodlawn,42,Multifamily,Dorchester Apts.,1410 E. 62nd St.,60637,773-572-5500,The Thresholds,67,1186722.40422274,1864209.57243815,41.7825052194,-87.5909616433,"(41.7825052194, -87.5909616433)"
Hegewisch,55,Senior,Senior Suites of Hegewisch,13550 S. Avenue O,60633,773-646-1333,Senior Lifestyle Corp.,116,1201038.05887492,1815487.73330301,41.6484574114,-87.540123166,"(41.6484574114, -87.540123166)"
South Lawndale,30,Multifamily,Casa Tabasco,3515-17 W. 23rd St.,60623,312-248-8355,The Resurrection Project,8,1153205.14864971,1888451.56193847,41.849756884,-87.713204726,"(41.849756884, -87.713204726)"
North Lawndale,29,Multifamily,Fountain View Apts.,1331 S. Independence Blvd.,60623,773-762-3389,Lawndale Christian Residential Svcs.,32,1151511.15780801,1893415.13316801,41.8634109156,-87.7192916814,"(41.8634109156, -87.7192916814)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,532 N. Trumbull Ave.,60624,773-227-6332,Bickerdike Apts.,15,1153240.18385878,1903567.26556071,41.8912353311,-87.7126750163,"(41.8912353311, -87.7126750163)"
Near South Side,33,Senior,Hilliard Homes Phase II,30 W. Cermak Road,60616,312-326-1466,Holsten Management Corp.,151,1176346.44120622,1889816.86140397,41.8530133902,-87.628232211,"(41.8530133902, -87.628232211)"
Uptown,3,Multifamily,Sunnyside Kenmore Apts.,847-49 W. Sunnyside Ave.,60640,773-769-3116,"Metroplex, Inc.",83,1169606.67765932,1930039.33609462,41.9635353994,-87.6517961908,"(41.9635353994, -87.6517961908)"
Gage Park,63,Senior,Senior Suites of Gage Park,3244 W. 59th St.,60629,773-434-4333,Senior Lifestyle Corp.,59,1155572.42511543,1865354.40677861,41.786328045,-87.705136175,"(41.786328045, -87.705136175)"
Lower West Side,31,Senior,Casa Maravilla,2021 S. Morgan St.,60608,312-666-1323,The Resurrection Project,5,1170051.20827734,1890349.58661921,41.8546147585,-87.6513220922,"(41.8546147585, -87.6513220922)"
Near North Side,8,Supportive Housing,The Midwest/Carroll Park Apts.,1333 N. Kingsbury St.,60622,312-337-5339,Holsten Real Estate Dev. Corp.,40,1170359.45418965,1908979.92926057,41.9057310023,-87.6496459664,"(41.9057310023, -87.6496459664)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,4950 S. Langley Ave.,60615,312-577-5555,The Community Builders Inc.,21,1181729.29665755,1872129.61655719,41.8043553511,-87.6090229601,"(41.8043553511, -87.6090229601)"
West Town,24,Multifamily,Boulevard Court Family Housing,1723-33 N. Humboldt Blvd.,60647,773-486-7410,Hispanic Housing Dev. Corp.,52,1156143.31021572,1911450.18995512,41.9128086528,-87.701800063,"(41.9128086528, -87.701800063)"
Logan Square,22,ARO,2501 Armitage,2501 W. Armitage Ave.,60647,312-255-1153,Tandem Property Management,8,1159374.11925531,1913163.36871418,41.9174438523,-87.689883619,"(41.9174438523, -87.689883619)"
Austin,25,Supportive Housing,Menard Apartments,334 N. Menard Ave.,60644,773-572-5272,The Thresholds,57,1137606.41466193,1901816.66456314,41.8867274207,-87.7701332901,"(41.8867274207, -87.7701332901)"
Humboldt Park,23,Disabled/Homeless,West Humboldt Place,3543 W. Chicago Ave.,60651,773-826-1230,Childrens Place Association,13,1152439.7235514,1905064.22043677,41.8953589753,-87.7155751576,"(41.8953589753, -87.7155751576)"
Douglas,35,Multifamily,Park Boulevard IIA,3640 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,1176856.61052139,1880678.42198275,41.8279253109,-87.6266357171,"(41.8279253109, -87.6266357171)"
Washington Park,40,Senior,TRC Senior Village I,346 E. 53rd St.,60615,773-924-9270,The Renaissance Collaborative,35,1179447.49011585,1869994.89809028,41.7985499558,-87.6174566934,"(41.7985499558, -87.6174566934)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3224 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,1154618.05462433,1903853.44002908,41.8919931605,-87.7076070703,"(41.8919931605, -87.7076070703)"
Englewood,68,Supportive Housing,Branch of Hope Apts.,5628-30 S. Halsted St.,60621,773-488-7205,Evergreen Real Estate LLC,99,1171893.83874774,1867410.66202499,41.7916278176,-87.6452332087,"(41.7916278176, -87.6452332087)"
Humboldt Park,23,Senior,North & Pulaski Senior Housing,3939-59 W. North Ave.,60647,773-687-0234,Hispanic Housing Dev. Corp.,72,1149678.04231574,1910302.33852858,41.9097870143,-87.7255819184,"(41.9097870143, -87.7255819184)"
Uptown,3,Supportive Housing,Harold Washington Apts.,4946 N. Sheridan Road,60640,312-447-4621,Mercy Housing,100,1168689.93333435,1933461.58725464,41.9729461221,-87.6550671247,"(41.9729461221, -87.6550671247)"
Near West Side,28,Supportive,Harvest Commons,1519 W. Warren Blvd.,60607,312-660-1354,Heartland Houisng Inc.,89,1165979.29957747,1900396.39342169,41.8822718277,-87.6659809767,"(41.8822718277, -87.6659809767)"
Grand Boulevard,38,Multifamily,Hearts United III-The Leontyne (scattered sites),4340-2 S. Champlain St.,60653,773-924-2100,Bonheur Realty Services Corp.,53,1181273.65632834,1876588.6982833,41.8166019546,-87.6105564793,"(41.8166019546, -87.6105564793)"
New City,61,Multifamily,Senior Suites of New City,4845 S. Western Blvd.,60609,773-523-9333,Senior Lifestyle Corp.,115,1161385.37395782,1872314.95861343,41.8053101773,-87.6836299382,"(41.8053101773, -87.6836299382)"
Albany Park,14,Senior,Darul Amaan Senior Living,4814-58 N. Kedzie Ave.,60625,773-463-3004,East Lake Management & Development Corp.,56,1154133.124514,1931889.15968442,41.9689350644,-87.7086378257,"(41.9689350644, -87.7086378257)"
North Lawndale,29,Multifamily,Park Douglas,1254-56 S. Fairfiled Ave.,60608,773-893-4800,Interstate Realty Management Co.,7,1158194.72318677,1894001.25121956,41.8648854853,-87.6947407139,"(41.8648854853, -87.6947407139)"
Washington Park,40,Multifamily,St. Edmund's Village,6253 S. Michigan Ave.,60653,773-493-2411,St. Edmund's Village LP,31,1178307.69719998,1863372.59872503,41.7804036945,-87.6218374892,"(41.7804036945, -87.6218374892)"
Montclare,18,ARO,"6602, 6614 W. Diversey","6602,6614 W. Diversey Ave.",60707,708-867-3799,Zitella Development,3,1131884.37214125,1917931.50687766,41.9310497553,-87.7907721868,"(41.9310497553, -87.7907721868)"
Rogers Park,1,Supportive Housing,Wayne Street Apts.,6808 N. Wayne Ave.,60626,773-572-5272,The Thresholds,297,1165865.34776422,1945401.68880544,42.0057709728,-87.6651110904,"(42.0057709728, -87.6651110904)"
West Town,24,Supportive/Veterans,65th Infantry Boringueneers Apts.,1045 N. Sacramento Blvd.,60622,773-772-4801,Hispanic Housing Dev. Corp.,48,1156229.02586848,1906960.64759334,41.9004872305,-87.7016066315,"(41.9004872305, -87.7016066315)"
Oakland,36,Multifamily,Lakefront Phase II,1110 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184252.73594585,1877396.34826993,41.8187489217,-87.5996033527,"(41.8187489217, -87.5996033527)"
Woodlawn,42,Multifamily,Eddie Mae & Alex Johnson Apts.,6230 S. Dorchester Ave.,60637,773-288-4202,Woodlawn East Community,84,1186573.26242799,1863816.8653135,41.7814311307,-87.5915208532,"(41.7814311307, -87.5915208532)"
Woodlawn,42,Senior,The Burnham at Woodlawn Park,6134 S. Cottage Grove Ave.,60637,773-955-8668,Preservation Housing Management LLC,65,1182583.34238394,1864354.94400561,41.7830011908,-87.6061319507,"(41.7830011908, -87.6061319507)"
Logan Square,22,Multifamily,Rev. Daniel Alvarez Apts.,2451-57 N. Sacramento Ave.,60612,773-772-4063,Hispanic Housing Dev. Corp.,96,1155995.81517927,1916357.84447311,41.926278629,-87.7022092387,"(41.926278629, -87.7022092387)"
Chatham,44,Senior,Senior Suites of Chatham,8300 S. Cottage Grove Ave.,60619,773-488-1333,Senior Lifestyle Corp.,90,1182964.71582079,1850099.44426013,41.743873821,-87.6051761606,"(41.743873821, -87.6051761606)"
Chicago Lawn,66,Senior,Senior Suites of Marquette Village,7430 S. Rockwell St.,60629,773-432-8420,Senior Lifestyle Corp.,93,1160293.92194352,1855122.44626943,41.7581541131,-87.6881061075,"(41.7581541131, -87.6881061075)"
Hyde Park,41,ARO,Vue53,1330 E. 53rd St.,60615,773-355-4972,Peak Campus,27,1185905.31980083,1870431.45163064,41.7995978694,-87.5937610369,"(41.7995978694, -87.5937610369)"
North Lawndale,29,Multifamily,Resurrection Homes,1910 S. Albany Ave.,60623,312-248-8355,The Resurrection Project,2,1155952.71475549,1890430.85423032,41.8551333961,-87.7030673957,"(41.8551333961, -87.7030673957)"
Douglas,35,Mutifamily,Park Boulevard IIB,15 W. 37th St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,1176697.68004084,1880416.0485266,41.8272089226,-87.6272267219,"(41.8272089226, -87.6272267219)"
Lakeview,6,ARO,3462 Lincoln,3462 N. Lincoln Ave.,60657,773-525-6570,Spaces Real Estate,2,,,,,
North Lawndale,29,Multifamily,Park Douglas,1218-20 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,29,1158519.56992569,1894367.80033295,41.8658846962,-87.6935381673,"(41.8658846962, -87.6935381673)"
Edgewater,77,Senior,Hollywood House Apts.,5700 N. Sheridan Road,60660,773-728-2600,Heartland Housing,93,1168565.91595768,1938087.01021017,41.9856410954,-87.6553885441,"(41.9856410954, -87.6553885441)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1802 N. Sawyer Ave.,60647,773-276-5338,LUCHA,3,,,,,
Oakland,36,Multifamily,Lakefront Phase II,4131 S. Lake Park Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",6,1184098.38435685,1877540.90869562,41.8191492211,-87.6001650373,"(41.8191492211, -87.6001650373)"
Austin,25,Multifamily,Congress Commons LLC,504 S. Laramie Ave.,60644,773-287-1592,Congress Commons LLC,161,1141766.8175998,1897120.68627109,41.873765121,-87.7549712034,"(41.873765121, -87.7549712034)"
Hyde Park,41,ARO,City Hyde Park,5105 S. Harper Ave.,60615,773-548-5077,Mac Properties,36,1187193.90756706,1871412.92057939,41.8022605699,-87.5890043476,"(41.8022605699, -87.5890043476)"
West Elsdon,62,Multifamily,Park Place Family Apts.,3630 W. 51st St.,60632,773-767-7260,"Leasing and Management Co., Inc.",78,1152916.27206839,1870602.65888423,41.8007828624,-87.7147366177,"(41.8007828624, -87.7147366177)"
Logan Square,22,ARO,1955 Richmond Place,1955 N. Richmond St.,60647,847-542-0442,@properties,3,1156536.74152822,1913073.87091903,41.9172562069,-87.7003106605,"(41.9172562069, -87.7003106605)"
Woodlawn,42,Multifamily,The Grant at Woodlawn Pk Phase II,6129 S. Cottage Grove Ave.,60637,312-283-0030,Preservation Housing Management LLC,33,1182661.4709824,1864419.23044943,41.7831757851,-87.6058435155,"(41.7831757851, -87.6058435155)"
Lower West Side,31,Multifamily,Casa Guerrero,963 W Cullerton St.,60608,312-666-1323,The Resurrection Project,52,1170238.80583309,1890555.16868233,41.8551748018,-87.6506275348,"(41.8551748018, -87.6506275348)"
West Town,24,ARO,1038 N. Ashland,1038-40 N. Ashland Ave.,60622,312-600-4501,Honore Properties,2,1165493.32211713,1907177.77248996,41.9008907949,-87.6675722718,"(41.9008907949, -87.6675722718)"
Avondale,21,Supportive Housing,Milwaukee Ave. Apts.,3060 N. Milwaukee Ave.,60618,312-967-7300,Full Circle Management,32,1151100.78156312,1920108.20346754,41.9366673862,-87.7200977199,"(41.9366673862, -87.7200977199)"
Douglas,35,Multifamily,Park Boulevard IIB,10 W. 37th St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,1176772.48965494,1880503.01369486,41.8274458746,-87.6269496359,"(41.8274458746, -87.6269496359)"
North Park,13,Senior,J. Michael Fitzgerald Apts.,5801 N. Pulaski Road,60646,773-588-1725,Elderly Housing Devp. & Operations Corp.,63,1148723.50103629,1938044.23656645,41.9859315142,-87.72836921,"(41.9859315142, -87.72836921)"
Oakland,36,Multifamily,Lakefront Phase II,1060 E. 41st St.,60653,773-548-8795,"Urban Property Advisors, LLC",81,1184020.76432545,1877980.71122625,41.820357887,-87.6004360121,"(41.820357887, -87.6004360121)"
East Garfield Park,27,Supportive Housing,Deborah's Place III,2822 W. Jackson Blvd.,60612,773-638-6490,Deborah's Place,90,1157527.97541372,1898606.33636721,41.8775358858,-87.6970630483,"(41.8775358858, -87.6970630483)"
Humboldt Park,23,Multifamily,La Estancia,3248 W. Division St.,60651,773-227-6332,Bickerdike Apts.,9,1154314.31953383,1907834.52609989,41.902923708,-87.7086160992,"(41.902923708, -87.7086160992)"
North Lawndale,29,Multifamily,Park Douglas,2642-44 W. 12 th Pl,60608,773-893-4800,Interstate Realty Management Co.,17,1158736.89740263,1894328.04036865,41.8657711435,-87.6927414311,"(41.8657711435, -87.6927414311)"
Montclare,18,Senior,The Montclare Senior Residences,6650 W. Belden Ave.,60707,773-237-3831,Pacific Management Inc.,7,1131547.9315415,1914379.41566769,41.9213082228,-87.792090958,"(41.9213082228, -87.792090958)"
North Lawndale,29,Supportive/HIV/AIDS,Hope House,1251 S. Sawyer Ave.,60623,773-935-4663,"AIDSCare, Inc.",80,1154939.02342039,1893956.67972843,41.8648290106,-87.7066936632,"(41.8648290106, -87.7066936632)"
Belmont Cragin,19,Senior,Crystal Courts/Anixter Center,5038 W. Armitage Ave.,60639,773-385-9080,Lester and Rosalie Anixter Center,17,1142340.78111141,1912865.65935215,41.916960542,-87.7524724894,"(41.916960542, -87.7524724894)"
Woodlawn,42,Multifamily,Renaissance Apts.,6200 S. University Ave.,60637,773-752-9400,AIMCO,64,1184799.33531403,1864093.1165452,41.7822309985,-87.598015727,"(41.7822309985, -87.598015727)"
Englewood,68,Supportive Housing,Rowan Trees Apts.,500 W. Englewood Ave.,60621,773-572-5272,The Thresholds,167,1174002.15951365,1863521.64325247,41.7809093636,-87.637617817,"(41.7809093636, -87.637617817)"
West Town,24,Multifamily,North and Talman Family Apts.,2654 W. North Ave.,60647,773-486-7410,Hispanic Housing Dev. Corp.,30,1158184.40121011,1910570.96075479,41.9103544922,-87.6943256397,"(41.9103544922, -87.6943256397)"
Austin,22,Multifamily,Madison Renaissance Apts.,1816 N. St. Louis Ave.,60647,773-227-1366,Related Management Co. LP,30,1152932.10619515,1911940.49730959,41.9142183771,-87.7135842866,"(41.9142183771, -87.7135842866)"
West Pullman,53,Senior,Kennedy Jordan Manor,825 W. 118th St.,60643,773-568-2929,Source Works Management,70,1172827.45383241,1826559.72039584,41.679506755,-87.6430113027,"(41.679506755, -87.6430113027)"
East Garfield Park,27,Senior,Heritage Woods of Chicago,2800 W. Fulton St.,60612,773-722-2900,BMA Management Ltd.,113,1157640.84823492,1901927.15476583,41.8866462303,-87.696558136,"(41.8866462303, -87.696558136)"
Rogers Park,1,Senior,James Sneider Apts.,7450 N. Rogers Ave.,60626,773-743-3699,Hispanic Housing Dev. Corp.,57,1163640.70906836,1949531.17141547,42.0171497111,-87.6731785733,"(42.0171497111, -87.6731785733)"
Humboldt Park,23,Multifamily,Tierra Linda Apts.,1749-51 N. Drake Ave.,60647,773-276-5338,LUCHA,6,,,,,
Douglas,35,Senior,Pioneer Village Apts.,340 E. 38th St.,60653,773-536-0463,Pioneer Affordable Housing Preservation,152,1179348.36008915,1879907.4959198,41.8257532207,-87.6175174282,"(41.8257532207, -87.6175174282)"
Uptown,3,Multifamily,Uptown Preservation Apts.,900 W. Windsor Ave.,60640,773-286-5400,Leasing & Management Co. Inc.,160,1169410.72384335,1930422.94203422,41.9645923009,-87.6525054366,"(41.9645923009, -87.6525054366)"
Near West Side,28,Multifamily,Jackson Square West End,2425 W. Adams St.,60612,312-492-6645,East Lake Management Co.,115,1160165.74619842,1898949.64957708,41.8784239004,-87.6873683543,"(41.8784239004, -87.6873683543)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1822 N. Sawyer Ave.,60647,773-276-5338,LUCHA,3,,,,,
Uptown,3,ARO,811 Uptown,811 W. Agatite Ave.,60640,312-402-7784,RL Accelerated,22,1169980.75332239,1929712.3690798,41.962630019,-87.650430429,"(41.962630019, -87.650430429)"
Grand Boulevard,38,Senior HUD 202,Margaret Ford Manor Independent Living,4500 S. Wabash Ave.,60653,773-924-9171,"HSR Property Services, LLC",63,1177427.15607438,1875236.62319051,41.8129796596,-87.6247071273,"(41.8129796596, -87.6247071273)"
Lakeview,6,ARO,927 W. Irving,927 W. Irving Park Rd.,60613,773-665-0103,DLG Management,1,1169246.12565157,1926706.62337092,41.9543981834,-87.6532190636,"(41.9543981834, -87.6532190636)"
Logan Square,22,ARO,The Western,1920 N. Milwaukee Ave.,60647,312-883-7331,Golub Realty Services,1,,,,,
West Town,24,ARO,Homer Townhomes,1623 N. Talman Ave.,60647,773-975-7234,Kass Management,5,1158490.60886582,1910798.29372114,41.9109720465,-87.6931945157,"(41.9109720465, -87.6931945157)"
Logan Square,22,ARO,2211 N. Milwaukee Ave.,2201-31 N. Milwaukee Ave.,60647,773-327-4975,33 Management LLC,12,1158283.98047586,1914416.07980073,41.9209037608,-87.6938544995,"(41.9209037608, -87.6938544995)"
Humboldt Park,23,Multifamily,Spaulding Apartments,1750 N. Spaulding Ave.,60647,773-381-7400,G&A Management,111,1153823.7192268,1911621.62839107,41.9133256466,-87.7103171384,"(41.9133256466, -87.7103171384)"
Near North Side,8,ARO,847 N. Larabee,847 N. Larabee St.,60610,773-698-6648,Fulton Grace Realty,1,,,,,
North Lawndale,29,Multifamily,Park Douglas,1302-06 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,5,1158533.50680198,1893871.34030389,41.8645220745,-87.6935005875,"(41.8645220745, -87.6935005875)"
Woodlawn,42,Multifamily,65th Street Apts.,817 E. 64th St.,60637,773-684-2056,"Urban Property Advisors, LLC",6,1182886.22597117,1862714.79366575,41.7784934339,-87.6050724236,"(41.7784934339, -87.6050724236)"
Grand Boulevard,38,Senior,Park Boulevard Tower/Grand Renaissance Apts.,4257 S. King Dr.,60653,773-268-4642,"East Lake Management Group, Inc.",24,1179612.43561157,1876628.60508636,41.8167496439,-87.6166489475,"(41.8167496439, -87.6166489475)"
West Garfield Park,26,Senior,Fannie Emanuel Apts.,3916 W. Washington Blvd.,60624,312-913-5812,McCormack Baron Management Inc.,181,1150182.64045322,1900168.64274653,41.8819692864,-87.7239926128,"(41.8819692864, -87.7239926128)"
Near West Side,28,Multifamily,Roosevelt Square Phase I /ABLA Rental,1222 W. Roosevelt Road,60607,312-948-0116,Related Management Co. LP,105,1168285.13271875,1894881.98460138,41.8670903488,-87.6576733813,"(41.8670903488, -87.6576733813)"
Washington Park,40,Multifamily,Harriett Tubman Apts.,5751-59 S. Michigan Ave.,60637,773-752-9760,Brand New Beginnings Inc.,65,1178184.05044772,1866708.81597414,41.7895614137,-87.6221896343,"(41.7895614137, -87.6221896343)"
Fuller Park,37,Senior,Fellowship Manor,5041 S. Princeton Ave.,60609,773-924-5980,"East Lake Management Group, Inc.",100,1175183.4790044,1871367.58227137,41.8024131184,-87.6330525826,"(41.8024131184, -87.6330525826)"
Auburn Gresham,71,Senior HUD 202,Naomi & Sylvester Smith Senior Living Ctr.,8019-55 S. Halsted St.,60620,773-651-6400,"HSR Property Services, LLC",59,1172404.46593612,1851597.13382272,41.7482223777,-87.6438256988,"(41.7482223777, -87.6438256988)"
New City,61,Senior,West Haven Homes,850 W. Garfield Blvd.,60609,773-536-3057,"Universal Management Service, Inc.",110,1171337.26942413,1868414.146219,41.7943936951,-87.6472446717,"(41.7943936951, -87.6472446717)"
Roseland,49,Senior,Victory Center of Roseland,10450 S. Michigan Ave.,60628,773-468-6400,Pathway Senior Living,81,1178829.40071189,1835494.40532173,41.7038907515,-87.6207711553,"(41.7038907515, -87.6207711553)"
Douglas,35,Multifamily,Park Boulevard IIA,3604 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",6,1176845.91461801,1881076.38182324,41.8290175865,-87.6266629487,"(41.8290175865, -87.6266629487)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,611 E. 50th St.,60615,312-577-5555,The Community Builders Inc.,8,1181237.49321335,1871959.19623043,41.8038990623,-87.6108319018,"(41.8038990623, -87.6108319018)"
Oakland,36,Multifamily,Lakefront Phase II,1137 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184548.96694928,1877442.50329026,41.8188686278,-87.5985152379,"(41.8188686278, -87.5985152379)"
North Lawndale,29,Multifamily,Park Douglas,1317-19 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,29,1158282.87349863,1893724.63384489,41.8641246191,-87.6944246698,"(41.8641246191, -87.6944246698)"
Montclare,18,ARO,2815-19 N. Natoma,2815-19 N. Natoma Ave.,60634,708-867-3790,Zitella Development,2,,,,,
West Ridge,2,ARO,Joy Plaza Residences,6411 N. Rockwell Ave.,60645,224-534-9361,Devon NJ LLC,3,1157863.15923004,1942516.73673856,41.9980221693,-87.6946311267,"(41.9980221693, -87.6946311267)"
Uptown,3,Senior,Ruth Shriman House,4040 N. Sheridan Road,60613,773-665-2210,Interfaith Housing Corp.,231,1168832.74962252,1927172.30289507,41.9556850173,-87.6547251281,"(41.9556850173, -87.6547251281)"
Washington Park,40,Multifamily,St. Edmund's Oasis,6100-24 S. Prairie Ave.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,27,1179047.07373454,1864591.09773502,41.7837305569,-87.6190897249,"(41.7837305569, -87.6190897249)"
Grand Boulevard,38,Multifamily,Hearts United I-The Langston (scattered sites),722-46 E. Bowen Ave.,60653,773-924-2100,Bonheur Realty Services Corp.,116,1181829.59842738,1877677.35986092,41.8195764741,-87.6084834879,"(41.8195764741, -87.6084834879)"
South Chicago,46,Senior,Victory Center of South Chicago,9200 S. Burley Ave.,60617,773-449-2600,Pathway Senior Living,23,1199232.90117817,1844538.09982248,41.7282198588,-87.5457557823,"(41.7282198588, -87.5457557823)"
